DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2024-12,172.14,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-01,176.48,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-02,177.75,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-03,179.03,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-04,179.74,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-05,180.72,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-06,181.18,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-07,181.74,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-08,182.28,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-09,181.97,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-10,182.73,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2024-11,106.64,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2024-12,105.66,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-01,105.86,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-02,105.77,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-03,105.61,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-04,105.50,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-05,107.14,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-06,107.73,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-07,108.05,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-08,107.80,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-09,107.46,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Switzerland,2025-10,106.98,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2024-11,127.27,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2024-12,128.53,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-01,126.44,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-02,126.45,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-03,125.17,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-04,125.96,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-05,127.54,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-06,125.26,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-07,124.90,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-08,126.67,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-09,128.06,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Cyprus,2025-10,128.51,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2024-11,148.5,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2024-12,147.5,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-01,152.2,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-02,151.3,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-03,152.6,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-04,152.2,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-05,154.0,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-06,154.3,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-07,153.2,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-08,153.1,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-09,151.3,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Czechia,2025-10,153.0,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Germany,2024-11,148.7,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Germany,2024-12,149.0,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Germany,2025-01,148.5,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Germany,2025-02,150.3,,
